NameId,Text,nid
aladiesmasseur, put your hand under top and rub on them,1
baby_breana, y,0
aladiesmasseur, get your nipples nice and hard,1
baby_breana, what for,0
aladiesmasseur, forget it thats ok,1
baby_breana, lol k i just dont get it,0
aladiesmasseur, you have never seen a guy cum,1
baby_breana, no,0
aladiesmasseur, do you know what tittie fucking is ,1
baby_breana, no,0
aladiesmasseur, a guy puts his hard dick between your breasts and goes in and out till he cums all over them or your face,1
baby_breana, o,0
aladiesmasseur, would you like my hands all over your naked body,1
baby_breana, i dunno,0
aladiesmasseur, maybe bend your legs up and bury my face between your legs,1
baby_breana, omg serious??,0
aladiesmasseur, would you like that,1
baby_breana, i dunno,0
aladiesmasseur, maybe finger your tight pussy and ass,1
baby_breana, omg,0
baby_breana, lol,0
aladiesmasseur, would you like me to jack off for you and cum all over your breasts,1
baby_breana, i dunno r u relly serious,0
aladiesmasseur, I could if you want,1
baby_breana, like at ur house???,0
aladiesmasseur, yeah or maybe take you to the park or someplace quite and do it there for you,1
baby_breana, o,0
aladiesmasseur, teach you new things,1
baby_breana, like wat park??,0
aladiesmasseur, the one by the zoo we could park and walk in unless you want to go somewhere else,1
baby_breana, like do other ppl live at ur house?,0
aladiesmasseur, just my roommate a female,1
baby_breana, o,0
aladiesmasseur, do you like other girls she could join us,1
baby_breana, i dunno,0
baby_breana, where did u go,0
baby_breana, hi,0
aladiesmasseur, hello there,1
aladiesmasseur, how is your night,1
baby_breana, ok,0
aladiesmasseur, cool,1
baby_breana, u?,0
aladiesmasseur, sorry for getting away with myself earlier today that is really not me,1
baby_breana, ??,0
aladiesmasseur, I am doing good,1
baby_breana, u mean when u left?,0
aladiesmasseur, I mean the way I talk't to you,1
baby_breana, o lol,0
aladiesmasseur, got a call and had to go do a massage,1
baby_breana, o,0
baby_breana, did u go to the park,0
aladiesmasseur, no went to her house,1
baby_breana, o,0
aladiesmasseur, I ended up giving her a full body massage,1
baby_breana, i never had 1 b4,0
aladiesmasseur, she was around 36 and her daughter got to watch us,1
baby_breana, how old is her dahgter,0
aladiesmasseur, she was 14 I think,1
baby_breana, y did she watch u massage,0
aladiesmasseur, she was interested and ask her mom it was ok with me,1
baby_breana, o,0
aladiesmasseur, they were both hot,1
baby_breana, lol,0
aladiesmasseur, do you have a bro or sis,1
baby_breana, i have a little bro he lives with my dad and dads gf,0
aladiesmasseur, you live with mom,1
baby_breana, yah,0
aladiesmasseur, bet your mom would like a massage that way you can see,1
baby_breana, y,0
aladiesmasseur, no reason,1
baby_breana, y see? i dont get y watch massage,0
aladiesmasseur, is your mom home with you now,1
baby_breana, yah but shes in bed,0
aladiesmasseur, maybe you were afraid about getting one,1
baby_breana, o,0
baby_breana, is that y that girl watched??,0
aladiesmasseur, I think so,1
aladiesmasseur, I even showed her how on some places,1
baby_breana, o,0
baby_breana, did she do massage 2??,0
aladiesmasseur, some she did the back and her mom's breasts,1
baby_breana, ?????,0
aladiesmasseur, I wanted her too,1
baby_breana, omg relly,0
aladiesmasseur, I kept thinking about you,1
baby_breana, ??,0
aladiesmasseur, I was picturing the daughter was you,1
baby_breana, o lol,0
aladiesmasseur, she had fun I was nude,1
baby_breana, omg no way,0
aladiesmasseur, yes the mom ask me to be,1
baby_breana, y,0
aladiesmasseur, I do what I'am told,1
baby_breana, o,0
aladiesmasseur, does your mom bring guys home,1
baby_breana, she has a bf,0
aladiesmasseur, ok,1
baby_breana, y,0
aladiesmasseur, just asking,1
baby_breana, k,0
aladiesmasseur, what are you wearing now,1
baby_breana, pjs,0
aladiesmasseur, wish I could see you,1
baby_breana, i dont have a cam,0
aladiesmasseur, what grade are you in,1
baby_breana,7,0
aladiesmasseur, cool,1
baby_breana, no it sux,0
baby_breana, lol,0
aladiesmasseur, you need someone to touch you all over,1
baby_breana, lol,0
baby_breana, wat do u look like,0
aladiesmasseur, did you see my profile,1
baby_breana, no,0
aladiesmasseur, hit contact then see profile,1
baby_breana, k,0
baby_breana, omg whats on ur nose?? lol,0
aladiesmasseur, that is a strap-on,1
baby_breana, ???,0
aladiesmasseur, girls use those to fuck each other,1
baby_breana, omg lol ,0
aladiesmasseur, has a girl ever kiss't you,1
baby_breana, u have ur phone # on ur prof?? ,0
aladiesmasseur, yes,1
baby_breana, yah i kissed a girl b4 no1 prank cals u??? lol,0
aladiesmasseur, no bad calls yet did you like it when she kiss't you,1
baby_breana, yah i gess,0
aladiesmasseur, I would love to slide my tongue in your mouth,1
baby_breana, lol r u serius or jus playing,0
aladiesmasseur, serious but I can play,1
baby_breana, huh??,0
aladiesmasseur, which would you like,1
aladiesmasseur, serious or play,1
baby_breana, i dont wanna be lied to so seriuos i gess,0
aladiesmasseur, sounds good to me and I never lie you get nowhere by doing that,1
baby_breana, i saw massage tables at costco 1 time,0
aladiesmasseur, I have one all padded but I like the bed or floor better,1
baby_breana, the floor???,0
aladiesmasseur, yeah that can be fun plus I can work real good there,1
baby_breana, o,0
aladiesmasseur, love to meet you at the park sometimes any park,1
baby_breana, how can u massage at the park???,0
aladiesmasseur, I really can't but can make you feel good,1
baby_breana, ???,0
aladiesmasseur, lean you up againest a tree and kiss you for a long time,1
baby_breana, lol,0
aladiesmasseur, put my hand up your top,1
baby_breana, in the park???,0
aladiesmasseur, yeah no one would see,1
baby_breana, r u sure,0
aladiesmasseur, yes,1
aladiesmasseur, I would not show you off,1
baby_breana, lol,0
magicfingez, I want you all to myself,2
baby_breana, umm,0
baby_breana, u changed names,0
baby_breana, do u have 2 names,0
aladiesmasseur, no the other one is the person who is here also but she is out for the night I think,1
baby_breana, o,0
baby_breana, u sent me a message with a diff name,0
aladiesmasseur, we both use this computer she is magicfingez and you know who I am,1
baby_breana, yah lol,0
aladiesmasseur," maybe I hit the wrong button ( He was using both names, but he is married, and she apparently knew what he was doing )",1
baby_breana, o,0
aladiesmasseur, I don't know,1
baby_breana, me eether but that was the name so yah ,0
aladiesmasseur, sorry if you do not believe me,1
baby_breana, no i said i do what r u talkin about???,0
aladiesmasseur, ok,1
aladiesmasseur, I would love to take some photos of you sometime,1
baby_breana, relly,0
aladiesmasseur, maybe some sexy ones,1
baby_breana, lol im not sexy tho,0
aladiesmasseur, yes you are to me,1
baby_breana, aww lol,0
aladiesmasseur, get you in some lingerie,1
baby_breana, umm not in the park ,0
baby_breana, lol,0
aladiesmasseur, no,1
aladiesmasseur, maybe go to the hot tubs,1
baby_breana, wheres that,0
aladiesmasseur, arcata,1
baby_breana, o,0
aladiesmasseur, get you in there naked,1
baby_breana, lol i never took a hot tub naked,0
aladiesmasseur, it is fun,1
baby_breana, do u go there alot??,0
aladiesmasseur, not that much ,1
baby_breana, o,0
aladiesmasseur, maybe eat you out there,1
baby_breana, omg lol,0
aladiesmasseur, let you stroke my hard cock,1
baby_breana, lol,0
aladiesmasseur, maybe even make me cum,1
baby_breana, i dont even know how to lol,0
aladiesmasseur, I will teach you,1
baby_breana, u dont think thats dumb???,0
aladiesmasseur, no not at all,1
baby_breana, k,0
aladiesmasseur, have you lay on your back on the dack with my face between your legs,1
baby_breana, omg that wuld be emberressing,0
baby_breana, stupid yahoo,0
aladiesmasseur, yeah,1
aladiesmasseur, being alone would be fun in there,1
baby_breana, in hot tubs?,0
aladiesmasseur, yeah or anywhere,1
baby_breana, lol,0
aladiesmasseur, love to teach you anything you want to know,1
baby_breana, i hafta go to bed pretty soon we still have testing tomorrow so i get out early yay!!,0
aladiesmasseur, go luck on your test,1
baby_breana, its all week its so boring,0
aladiesmasseur, are you gonna tell your friends about our talk its ok,1
baby_breana, huh?,0
baby_breana, that was confusing lol,0
aladiesmasseur, are you gonna tell your friends about our talk,1
baby_breana, i dunno ,0
aladiesmasseur, the girls would love it,1
baby_breana, lol ,0
baby_breana, u want me to tell them??,0
aladiesmasseur, yeah they would ask you alot of questions,1
baby_breana, lol,0
aladiesmasseur, it would be clean fun,1
baby_breana, can i tell them u sent a porno pic ??,0
aladiesmasseur, yes you can even give them my yahoo name if you want,1
baby_breana, relly,0
aladiesmasseur, yeah I'll sent you more photos next time,1
baby_breana, do u chat with lots of ppl??,0
baby_breana, what kinda pics??,0
aladiesmasseur, if they say hello alot of people just don't answer ya,1
aladiesmasseur, wait and see,1
baby_breana, lol k,0
baby_breana, will u email them to me??? or on here??,0
aladiesmasseur, on here,1
baby_breana, k,0
aladiesmasseur, you better get to bed,1
baby_breana, do u have a lot of pics??,0
baby_breana, yah i know if my mom gets up shes gonna yell at me lol ,0
aladiesmasseur, yeah alot of just girls and some boys that girls sent me,1
aladiesmasseur, ok good night love,1
baby_breana, good night will u be on here tomorrow,0
aladiesmasseur, I hope so if I don't get called out,1
aladiesmasseur, bye,1
baby_breana, for massages?,0
baby_breana, is that ur job???,0
aladiesmasseur, yes,1
baby_breana, o,0
baby_breana, k,0
baby_breana, bye,0
aladiesmasseur, bye,1
magicfingez, hello there,2
baby_breana, hi,0
magicfingez, how was your day baby doll,2
baby_breana, ok ,0
baby_breana, o u left,0
baby_breana, r u back,0
magicfingez, yes my sweet,2
baby_breana, what did u do today??,0
magicfingez, went to see my 94 year old aunt in arcata,2
baby_breana, omg thats old!!,0
magicfingez, yes she is but she knows everything thats going on,2
baby_breana, thats good,0
magicfingez, did you tell your friends about our talk last night,2
baby_breana, umm i told 2 of them,0
baby_breana, is that ok??,0
magicfingez, yes,2
magicfingez, what city do you live in,2
baby_breana, eureka,0
magicfingez, cool,2
magicfingez, so what are you up too tonight,2
baby_breana, watchin tv and chatting,0
magicfingez, anyone with you,2
baby_breana, no my mom went to bed ,0
magicfingez, who else are you talking too,2
baby_breana, just my cuz in redding,0
magicfingez, m/f,2
baby_breana, m,0
baby_breana, who r u talkin to,0
magicfingez, you,2
baby_breana, o,0
baby_breana, lol,0
magicfingez, I should let you two talk,2
baby_breana, y,0
baby_breana, hes boring anyways,0
magicfingez, are you naked,2
baby_breana, south park is over,0
baby_breana, omg no !!!!,0
magicfingez, ha ha,2
baby_breana, y wuld i be naked???,0
magicfingez, for me,2
magicfingez, I found some lingerie for you to wear when I take your photos,2
baby_breana, relly??,0
magicfingez, one is a pink see through top very sexy,2
baby_breana, where wuld i put it on at??,0
baby_breana, where wuld i put it on at??,0
magicfingez,,2
baby_breana, hello?,0
magicfingez, hi baby love,2
baby_breana, y do u keep sining off??,0
magicfingez, yahoo keeps kicking me off,2
baby_breana, o that sux,0
magicfingez, yes,2
magicfingez, did you go to bed horny,2
baby_breana, lol i dont think so,0
magicfingez, to bad,2
baby_breana, lol,0
magicfingez, so what did your friends say,2
baby_breana, first they said no way then one said it was gross lol,0
magicfingez, oh well they have no fun in life,2
baby_breana, lol,0
baby_breana, what r u doing,0
magicfingez, putting in my mind you laying out naked for me,2
baby_breana, serious?,0
magicfingez, yes,2
baby_breana, r u talkin to some1 else,0
magicfingez, just one other person,2
baby_breana, o,0
magicfingez, but my mind is on you,2
baby_breana, is it a girl ,0
magicfingez, yes a older woman,2
baby_breana, o,0
magicfingez, wish you were in my arms right now,2
baby_breana, is she gonna get a massage,0
baby_breana, aww thats sweet lol,0
magicfingez, she is not to sure,2
baby_breana, o,0
magicfingez, maybe tie you to your bed ha ha,2
baby_breana, my bed???,0
magicfingez, yeah,2
baby_breana, umm ,0
baby_breana, y tie to my bed??,0
magicfingez, then I could have me way with you,2
baby_breana, what wuld u do???,0
magicfingez, go down on you get your pussy real wet,2
baby_breana, i nevr did that b4,0
magicfingez, my tongue up inside you,2
baby_breana, does that hurt???,0
magicfingez, no you would love it,2
magicfingez, the pleasure it would bring wow,2
baby_breana, o,0
magicfingez, then I would get on top of you,2
baby_breana, on me??,0
magicfingez, yes and suck on your nipples,2
magicfingez, legs wide apart,2
baby_breana, what if i dont like it???,0
magicfingez, then I would stop,2
magicfingez, I would never hurt you,2
baby_breana, k,0
baby_breana, wuld u relly come to my house??,0
magicfingez, your mom would get mad,2
baby_breana, yah lol,0
magicfingez, I could always meet you somewhere sometime,2
baby_breana, like where ?,0
magicfingez, you name the place,2
magicfingez, what is close to you,2
baby_breana, i kinda live by fresh freeze but not right by it ,0
magicfingez, ok,2
baby_breana, u know where that is ??,0
magicfingez, on harris isn't it,2
baby_breana, yah,0
magicfingez, I could go there and you can see me and if you like we can go to the park or something,2
baby_breana, like when do u wanna ??,0
magicfingez, tomorrow afternoon,2
baby_breana, um maybe i can but i dunno,0
magicfingez, thats ok you can always let me know when you want,2
baby_breana, what time do u wanna ??,0
magicfingez,4,2
baby_breana, let u know on here??,0
magicfingez, ok but so far tomorrow is free for me,2
baby_breana, k,0
baby_breana, will u be on here,0
magicfingez, off and on I will I will leave message if your not that I will be there at 4,2
baby_breana, at ff??,0
magicfingez, my message will be before that,2
magicfingez, but yes at four,2
baby_breana, ur gonna go to frsh freeze or where?,0
magicfingez, fresh freeze I guess,2
baby_breana, i just hope my moms friend isnt at work she might see me she works at the dry cleaners and once she saw me buy ice cream when i stayd home sick ,0
magicfingez, do you wish to meet somewhere else,2
baby_breana, maybe i can see if she is when i get home from school and then tell u,0
magicfingez, ok,2
baby_breana, its last day we get out early cuz of tests,0
magicfingez, cool,2
baby_breana, will u be on at 1??,0
magicfingez, or 2,2
baby_breana, k,0
baby_breana, i hafta go to bed,0
magicfingez, yes its late goodbye for now good luck tomorrow,2
magicfingez, bye,2
baby_breana, thanx,0
baby_breana, bye,0
magicfingez, ,2
baby_breana, hi,0
baby_breana, r u here?,0
magicfingez, hello there,2
baby_breana, hi,0
magicfingez, how have you been,2
baby_breana," ok i went to my grammas on fri cuz my mom was sick ( Actually I didn't want him to push for a weekend meeting, as the nc3tf was gearing up to meet with him the following day )",0
baby_breana, how r u,0
magicfingez, was that good or bad that you went,2
baby_breana, it was ok boring cuz no computer,0
magicfingez, oh too bad so sad,2
baby_breana, lol,0
baby_breana, did u have fun weekend??,0
magicfingez, it was ok did one massage,2
baby_breana, o,0
magicfingez, did you do anything exciting,2
baby_breana, no we just stayed at her house and went to costco,0
magicfingez, I drove by costco on Sat,2
baby_breana, i was there on sat!! what time did u,0
magicfingez, I went by around one going to the ladies home to do her,2
baby_breana, o we went at like 3,0
magicfingez, I was almost out of her place by then,2
baby_breana, o,0
magicfingez, how did you do on your tests,2
baby_breana, i dunno they dont tell us its not reg test its star tests so its not on report card,0
magicfingez, ok,2
baby_breana, im happy its over its so boring,0
magicfingez, yes school is like that,2
baby_breana, yah lol,0
baby_breana, r u gonna be on tomarrow??,0
magicfingez, yes I will be here,2
baby_breana, at like 3 when i get outta school??,0
magicfingez, I may still be at midas getting my car fixed,2
baby_breana, o,0
baby_breana, k,0
baby_breana, is it broke,0
magicfingez, I still want to meet you,2
magicfingez, no I'am having something check't out,2
baby_breana, o,0
baby_breana, what time will u be on here??,0
magicfingez, to be honest I have no idea anytime after 4,2
baby_breana, k,0
magicfingez, tell me what are you thinking,2
baby_breana, ill just get online when i get home and see u when u get on k,0
magicfingez, ok,2
baby_breana, its 10 i gtg,0
magicfingez, ok be good,2
baby_breana, lol,0
baby_breana, k,0
magicfingez, bye,2
baby_breana, bye,0
baby_breana, hi,0
magicfingez, hello baby doll,2
baby_breana, how r u,0
magicfingez, doing a ok and you,2
baby_breana, ok,0
baby_breana, did u get ur car fixed ??,0
magicfingez, yes,2
baby_breana, thas good,0
magicfingez, yes cause I lost a customer last night cause of no car,2
baby_breana, ,0
magicfingez, yeah thats how I felt,2
baby_breana, y was it broken,0
magicfingez, the value springs were shot,2
baby_breana, o,0
magicfingez, are you feeling sexy today,2
baby_breana, umm i dunno lol r u ??,0
magicfingez, yes always,2
baby_breana, o lol,0
magicfingez, thats why I like what I do,2
baby_breana, its sexy ??,0
magicfingez, the ladies are and its a good work out for me and my hands,2
baby_breana, o,0
magicfingez, I like to joke and make them feel happy about themselves,2
baby_breana, o,0
magicfingez, when I do a massage I try not to be too serious ,2
baby_breana, well now u have ur car so thas good,0
magicfingez, yes maybe we can meet sometime if only just to say hi,2
baby_breana, like what do u wanna do ??,0
magicfingez, anything you would like,2
baby_breana, like go to the movies ??,0
magicfingez, yes and have my hand between your legs,2
baby_breana, omg lol,0
magicfingez, knew you would say that at least your laughing,2
baby_breana, lol,0
magicfingez, anyone home with you,2
baby_breana, no,0
baby_breana, u? ,0
13YearOldBoy, kewl,3
13YearOldBoy, 14 m near flagler,3
13YearOldBoy, u,3
Antitrust40242 ,14,4
Antitrust40242 ," jail bait (Well, at least he knows it's wrong...)",4
13YearOldBoy, a what?,3
Antitrust40242 , how far from flagler (...yet he keeps going. And going. And going.),4
13YearOldBoy, not far,3
Antitrust40242 , cant drive huh,4
13YearOldBoy, no,3
13YearOldBoy, u?,3
Antitrust40242 , yepp,4
13YearOldBoy, kewl,3
Antitrust40242 , yepp,4
13YearOldBoy, how old r u?,3
Antitrust40242 ," 26 (Try 32. Regardless, old enough to know better, that's for sure.)",4
13YearOldBoy, oh kewl,3
13YearOldBoy, u aint old n stuff,3
Antitrust40242 , nope,4
Antitrust40242 , ur 14,4
Antitrust40242 , too bad ,4
13YearOldBoy, yea it sux,3
13YearOldBoy, ill be 15 next month,3
Antitrust40242 , cause ur a cutie ,4
13YearOldBoy, heht hanx,3
Antitrust40242 , ?,4
13YearOldBoy, thankx,3
Antitrust40242 , no prob,4
13YearOldBoy, what u look liike?,3
Antitrust40242 , 6'6 200 brn blu,4
13YearOldBoy, o m g,3
Antitrust40242 , u live off **EDIT**,4
13YearOldBoy, ure tall,3
13YearOldBoy, i what?,3
Antitrust40242 , yeppers,4
13YearOldBoy, oht hat road,3
13YearOldBoy, no,3
13YearOldBoy, nearer teh water,3
Antitrust40242 , sweet,4
Antitrust40242 , i live a block from the beach,4
13YearOldBoy, o ya? in Flagler beach?,3
Antitrust40242 , yepp,4
13YearOldBoy, kewl,3
Antitrust40242 , i like it,4
13YearOldBoy, so u can like hear the water,3
Antitrust40242 , ever day,4
13YearOldBoy, kewl,3
13YearOldBoy, me 2 kinda,3
Antitrust40242 , how far r u from the water,4
13YearOldBoy, A lil ways away,3
Antitrust40242 , kewl,4
13YearOldBoy, not many gay people around here r there,3
Antitrust40242 , nope it sux,4
13YearOldBoy, heck ya,3
13YearOldBoy, thats y im online here,3
Antitrust40242 , how many have u been with,4
13YearOldBoy, 2 girls 1 guy,3
13YearOldBoy, u?,3
Antitrust40242 , 8 guys 3 girls,4
13YearOldBoy, o wow ure expereinced then lol,3
Antitrust40242 , haha...i guess i know what i'm doin,4
13YearOldBoy, tru tru,3
Antitrust40242 , O,4
13YearOldBoy, ,3
Antitrust40242 , what u lookin for,4
13YearOldBoy, friends n mebbie more i dunno,3
Antitrust40242 , kewl kewl,4
13YearOldBoy, u,3
Antitrust40242 , lookin ,4
13YearOldBoy, kewl,3
13YearOldBoy, ill brb in like 5,3
Antitrust40242 , be here,4
13YearOldBoy, back,3
Antitrust40242 , welcome,4
13YearOldBoy, thank,3
13YearOldBoy, s,3
Antitrust40242 , ,4
13YearOldBoy, oy i dont wanna go to school tomorrow,3
Antitrust40242 , i dont blame u,4
13YearOldBoy, fuck ya man it sux,3
Antitrust40242 , wish i could help,4
13YearOldBoy, me to,3
Antitrust40242 , any more pics,4
13YearOldBoy, yeah u have any?,3
Antitrust40242 , for trade,4
13YearOldBoy, ok me 2,3
Antitrust40242 , snd pls,4
13YearOldBoy, k ill send 2 ,3
Antitrust40242 , ur turn,4
13YearOldBoy, i sent 2,3
13YearOldBoy, MySpace.com,3
13YearOldBoy, if u wanna see more,3
Antitrust40242 , didnt get,4
13YearOldBoy, wow nice pic,3
13YearOldBoy, u can see what i have for pics on myspace if u want,3
13YearOldBoy, u see?,3
Antitrust40242 , only one pic,4
Antitrust40242 , who's tghe other boy,4
13YearOldBoy, my friend,3
13YearOldBoy, im n the right,3
13YearOldBoy, i'' ll try n email the others,3
13YearOldBoy, again,3
Antitrust40242 , kewl,4
13YearOldBoy, sent,3
Antitrust40242 , nice,4
Antitrust40242 , ruthere,4
13YearOldBoy, yea srry,3
13YearOldBoy, my computer crashed,3
Antitrust40242 , ahhh damn,4
Antitrust40242 , i'm so bored,4
Antitrust40242 , think i'm goin for a drive,4
13YearOldBoy, me 2,3
13YearOldBoy, kewl,3
13YearOldBoy, nice nite for that,3
Antitrust40242 , dmn wish u where older,4
13YearOldBoy, ya me to cuz then i could go n drive 2,3
Antitrust40242 , haha,4
Antitrust40242 , do u skate,4
Antitrust40242 , u there,4
13YearOldBoy, yea,3
13YearOldBoy, i rollerblade,3
13YearOldBoy, do u,3
13YearOldBoy, ?,3
Antitrust40242 , wish i was 15,4
13YearOldBoy, heh y is that,3
13YearOldBoy, then u coulnt drive,3
Antitrust40242 , but i could see u,4
13YearOldBoy, heh ,3
13YearOldBoy, well u can see me now,3
13YearOldBoy, AND drive,3
Antitrust40242 , where,4
13YearOldBoy, uhmmm,3
13YearOldBoy, well usaw my pics,3
Antitrust40242 , yeah,4
Antitrust40242 , ?,4
Antitrust40242 , u dont look 14,4
13YearOldBoy, thanx,3
Antitrust40242 , 13-year-old boy,4
13YearOldBoy, i know and i was sayin thanx,3
13YearOldBoy, brb my dads callin me,3
Antitrust40242 , oh,4
13YearOldBoy, hi,3
13YearOldBoy, ?,3
Antitrust40242 , WHAT HAPPEN,4
Antitrust40242 , whats up,4
13YearOldBoy, howdy,3
Antitrust40242 , how r u,4
13YearOldBoy, bored,3
13YearOldBoy, u,3
Antitrust40242 , bored gettin ready to find s-thing to do,4
13YearOldBoy, oh i c,3
13YearOldBoy, what u lookin to do,3
Antitrust40242 , dont know yet,4
13YearOldBoy, o ok,3
13YearOldBoy, well,3
Antitrust40242 , why,4
13YearOldBoy, that sound xciting,3
13YearOldBoy, lol,3
13YearOldBoy, i dunno just askin u,3
Antitrust40242 , what r u gonna do,4
13YearOldBoy, nothin,3
13YearOldBoy, im stuck here,3
Antitrust40242 , sorry,4
13YearOldBoy, well its not ur fault,3
Antitrust40242 , anything i can do,4
13YearOldBoy, Naw prolly not,3
Antitrust40242 , we talked the other night too,4
13YearOldBoy, yea i kno,3
13YearOldBoy, u call me jailbait lol,3
Antitrust40242 , sorry,4
13YearOldBoy, its ok,3
Antitrust40242 , ur very cute ,4
13YearOldBoy, thanx,3
13YearOldBoy, so r u,3
Antitrust40242 , think i'm gonna go shop,4
13YearOldBoy, shop? where?,3
Antitrust40242 , publix in ormond,4
13YearOldBoy, ooooh fun,3
Antitrust40242 , yepp cant wait,4
Antitrust40242 , maybe wally world,4
13YearOldBoy, food!,3
13YearOldBoy, ,3
Antitrust40242 , u hungry,4
13YearOldBoy, i just ate,3
Antitrust40242 , oh.....i'm bored,4
13YearOldBoy, yeah,3
13YearOldBoy, me2,3
Antitrust40242 , what r u gonna do,4
13YearOldBoy, I dunno,3
13YearOldBoy, prolly just sit here,3
13YearOldBoy, chat online,3
13YearOldBoy, or just watch TV,3
13YearOldBoy, or a movie,3
13YearOldBoy, or play Xbox or sumthin,3
Antitrust40242 , kewl,4
13YearOldBoy, what bout u,3
Antitrust40242 , or who,4
13YearOldBoy, who?,3
Antitrust40242 , not sure yet,4
13YearOldBoy, o ok,3
Antitrust40242 , what,4
Antitrust40242 , you,4
Antitrust40242 , ha ha i think i'm gonna go to wallyworld in pc,4
13YearOldBoy, How u do that??,3
Antitrust40242 , do u?,4
13YearOldBoy, do i what,3
13YearOldBoy, im sorry ure confusing me so,3
Antitrust40242 , how do i do u,4
Antitrust40242 ," lots of ways....;-) (Okay, he's a little more forward today.)",4
13YearOldBoy, LOL,3
13YearOldBoy, bad ;),3
Antitrust40242 , O,4
13YearOldBoy, ,3
Antitrust40242 , one day ,4
13YearOldBoy, when,3
Antitrust40242 , u tell me,4
13YearOldBoy, today?,3
13YearOldBoy, ,3
Antitrust40242 , 8-),4
Antitrust40242 , what?,4
13YearOldBoy, what,3
Antitrust40242 , how?,4
13YearOldBoy, well u gotta tell me cause I cant drive,3
Antitrust40242 , where?,4
13YearOldBoy, uhh my house?,3
13YearOldBoy, is that what u mean?,3
Antitrust40242 , no,4
13YearOldBoy, oh,3
13YearOldBoy, im sorry ,3
Antitrust40242 , ?,4
13YearOldBoy, i dunno what ure talkin bout,3
13YearOldBoy, im sooo confused,3
Antitrust40242 , dont know where u live,4
Antitrust40242 , r u a cop?,4
13YearOldBoy, in Flagler Bch,3
13YearOldBoy, no I ain t a cop,3
Antitrust40242 , ,4
Antitrust40242 , where in flagler,4
13YearOldBoy, N of the Pier,3
